2026-07-08 10:58:29,549 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/273 (0.4%)
2026-07-08 11:01:32,807 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/273 (73.6%)
2026-07-08 11:07:56,940 | INFO     | tonediv.nlp.scorer | Fatia 66/77 pontuada (4000 falas) e salva.
2026-07-08 11:08:01,317 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/282 (0.4%)
2026-07-08 11:11:26,645 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/282 (71.3%)
2026-07-08 11:19:28,942 | INFO     | tonediv.nlp.scorer | Fatia 67/77 pontuada (4000 falas) e salva.
2026-07-08 11:19:32,306 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/263 (0.4%)
2026-07-08 11:22:35,096 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/263 (76.4%)
2026-07-08 11:27:53,049 | INFO     | tonediv.nlp.scorer | Fatia 68/77 pontuada (4000 falas) e salva.
2026-07-08 11:27:57,935 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/283 (0.4%)
2026-07-08 11:32:05,334 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/283 (71.0%)
2026-07-08 11:40:30,061 | INFO     | tonediv.nlp.scorer | Fatia 69/77 pontuada (4000 falas) e salva.
2026-07-08 11:40:34,297 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/275 (0.4%)
2026-07-08 11:44:00,819 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/275 (73.1%)
2026-07-08 11:50:52,064 | INFO     | tonediv.nlp.scorer | Fatia 70/77 pontuada (4000 falas) e salva.
2026-07-08 11:50:56,414 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/282 (0.4%)
2026-07-08 11:54:08,922 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/282 (71.3%)
2026-07-08 12:02:10,225 | INFO     | tonediv.nlp.scorer | Fatia 71/77 pontuada (4000 falas) e salva.
2026-07-08 12:02:15,046 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/286 (0.3%)
2026-07-08 12:05:25,887 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/286 (70.3%)
2026-07-08 12:13:49,445 | INFO     | tonediv.nlp.scorer | Fatia 72/77 pontuada (4000 falas) e salva.
2026-07-08 12:13:54,545 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/289 (0.3%)
2026-07-08 12:17:56,683 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/289 (69.6%)
2026-07-08 12:27:28,972 | INFO     | tonediv.nlp.scorer | Fatia 73/77 pontuada (4000 falas) e salva.
2026-07-08 12:27:32,812 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/269 (0.4%)
2026-07-08 12:30:56,647 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/269 (74.7%)
2026-07-08 12:36:53,967 | INFO     | tonediv.nlp.scorer | Fatia 74/77 pontuada (4000 falas) e salva.
2026-07-08 12:36:58,294 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/280 (0.4%)
2026-07-08 12:39:46,746 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/280 (71.8%)
2026-07-08 12:47:09,147 | INFO     | tonediv.nlp.scorer | Fatia 75/77 pontuada (4000 falas) e salva.
2026-07-08 12:47:15,159 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/297 (0.3%)
2026-07-08 12:51:34,052 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/297 (67.7%)
2026-07-08 13:02:08,589 | INFO     | tonediv.nlp.scorer | Fatia 76/77 pontuada (4000 falas) e salva.
2026-07-08 13:02:12,654 | INFO     | tonediv.nlp.scorer | Scoring: lote 1/241 (0.4%)
2026-07-08 13:07:10,059 | INFO     | tonediv.nlp.scorer | Scoring: lote 201/241 (83.4%)
2026-07-08 13:12:14,492 | INFO     | tonediv.nlp.scorer | Fatia 77/77 pontuada (3441 falas) e salva.
[03] falas pontuadas=307441 | device=cpu | chunks médios/fala=1.13 | net_tone médio por papel={'analyst': 0.0996, 'management': 0.3274}
